CustomerID,Name,Email,Phone
1,Mickey Mouse,ureed@gmail.com,021-919-5820x024
2,Inspector Gadget,qkelly@hale.com,(627)213-0167x14107
3,Boo Boo,wellsbenjamin@hotmail.com,001-000-803-2832x649
4,Wile E. Coyote,peggybryant@norman.com,(404)022-1594
5,Pluto,patricksanders@yahoo.com,001-991-278-2440
6,Barney Rubble,williamscrystal@howard-hammond.com,(902)043-6650x542
7,Fred Flintstone,msmith@martinez.com,001-483-899-6536x2689
8,He-Man,tina66@gmail.com,(732)375-8062x6515
9,Top Cat,christopherfrazier@hotmail.com,+1-148-492-1540
10,Popeye,wsmith@hotmail.com,(704)151-6852x53068
11,Yogi Bear,sara28@acevedo.com,(440)927-3688
12,Road Runner,mberger@yahoo.com,(630)980-2188x940
13,Foghorn Leghorn,wwilliams@yahoo.com,805-773-6595x086
14,Goofy,cmorgan@jones.net,(184)618-5428
15,Olive Oyl,nadams@hotmail.com,(694)786-9183x70087
16,Tasmanian Devil,ptaylor@robbins-taylor.com,3180417401
17,Daffy Duck,wallacedanielle@yahoo.com,+1-869-152-0097x37521
18,Skeletor,rmartin@gmail.com,+1-989-625-1541x661
19,Felix the Cat,kaylee08@bell-evans.biz,001-965-706-7995
20,Tom Cat,lamelizabeth@gmail.com,809.239.6699x8297
21,Betty Boop,irobinson@moore.com,001-180-054-0166x3714
22,Marvin the Martian,elizabeth86@yahoo.com,694-095-6803x396
23,Scooby Doo,calderonvirginia@gmail.com,(358)436-4304x09630
24,Dale,brooke19@hotmail.com,(012)900-0316x715
25,George Jetson,xbyrd@gmail.com,700-174-7835x88991
26,Elroy Jetson,jacqueline05@yahoo.com,379-220-9441
27,Chip,john83@andersen.biz,001-030-724-1130x97770
28,Bugs Bunny,brandon61@hotmail.com,033.465.8189
29,Jerry Mouse,mejiachristina@gmail.com,747-847-8420x5469
30,Donald Duck,thomas34@hotmail.com,+1-348-849-0127x10867
31,Adam Lopez,rodriguezlaura@gonzalez-roy.net,183.620.1994
